"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
478927;2022-10-06;"quinta-feira";"14:41:00";"SP";116;289,1;"ITAPECERICA DA SERRA";"Trafegar com motocicleta (ou similar) entre as faixas";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;0;1;1;2;-23,72290969;-46,89096614;"SPRF-SP";"DEL04-SP";"UOP01-DEL04-SP"
478928;2022-10-06;"quinta-feira";"15:20:00";"PR";158;530,5;"PATO BRANCO";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Interseção de Vias";"Sim";4;0;2;0;2;0;2;2;-26,19918947;-52,67511427;"SPRF-PR";"DEL02-PR";"UOP01-DEL02-PR"
478929;2022-10-06;"quinta-feira";"12:00:00";"SC";282;222;"LAGES";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Aclive";"Sim";1;0;1;0;0;0;1;1;-27,797739;-50,353409;"SPRF-SC";"DEL05-SC";"UOP01-DEL05-SC"
478930;2022-10-06;"quinta-feira";"15:14:00";"PB";101;96,7;"CONDE";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Não";1;0;0;1;0;0;1;1;-7,230921;-34,921149;"SPRF-PB";"DEL01-PB";"UOP02-DEL01-PB"
478934;2022-10-06;"quinta-feira";"15:30:00";"PE";316;303;"FLORESTA";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;-8,60774626;-38,57879405;"SPRF-PE";"DEL04-PE";"UOP03-DEL04-PE"
478935;2022-10-06;"quinta-feira";"07:20:00";"PI";343;325,9;"TERESINA";"Manobra de mudança de faixa";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Curva";"Não";2;0;2;0;0;0;2;2;-5,065521;-42,609653;"SPRF-PI";"DEL01-PI";"UOP01-DEL01-PI"
478936;2022-10-06;"quinta-feira";"07:50:00";"PE";232;281;"SERTANIA";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";4;0;3;0;0;1;3;2;-8,34770731;-37,29960517;"SPRF-PE";"DEL04-PE";"UOP02-DEL04-PE"
478937;2022-10-06;"quinta-feira";"12:55:00";"RS";116;427;"CRISTAL";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Declive";"Sim";4;0;4;0;0;0;4;2;-30,99035;-52,038357;"SPRF-RS";"DEL02-RS";"UOP02-DEL02-RS"
478938;2022-10-06;"quinta-feira";"14:22:00";"PE";428;188;"PETROLINA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Viaduto;Aclive";"Sim";3;0;1;1;1;0;2;2;-9,37600211;-40,49226176;"SPRF-PE";"DEL06-PE";"UOP01-DEL06-PE"
478939;2022-09-25;"domingo";"19:10:00";"GO";70;4;"AGUAS LINDAS DE GOIAS";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;0;1;1;0;2;-15,759838;-48,246011;"SPRF-DF";"DEL03-DF";"UOP02-DEL03-DF"
478942;2022-10-06;"quinta-feira";"13:30:00";"PB";230;25;"JOAO PESSOA";"Ausência de reação do condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Declive";"Não";3;0;1;0;2;0;1;2;-7,1707;-34,8684;"SPRF-PB";"DEL01-PB";"UOP01-DEL01-PB"
478944;2022-10-06;"quinta-feira";"11:55:00";"RO";364;308,6;"PRESIDENTE MEDICI";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;1;1;0;1;2;-11,172427;-61,901573;"SPRF-RO";"DEL02-RO";"UOP01-DEL02-RO"
478945;2022-10-06;"quinta-feira";"14:32:00";"RS";287;247,5;"SANTA MARIA";"Área urbana sem a presença de local apropriado para a travessia de pedestres";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;0;1;0;2;1;3;-29,69846322;-53,84480953;"SPRF-RS";"DEL09-RS";"UOP01-DEL09-RS"
478946;2022-10-06;"quinta-feira";"11:15:00";"RS";116;143;"CAXIAS DO SUL";"Velocidade Incompatível";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Sim";3;0;1;0;2;0;1;3;-29,12592248;-51,1275816;"SPRF-RS";"DEL05-RS";"UOP01-DEL05-RS"
478947;2022-10-06;"quinta-feira";"12:20:00";"SC";101;194,1;"BIGUACU";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Múltipla";"Interseção de Vias";"Sim";2;0;1;0;1;0;1;2;-27,49815117;-48,65661236;"SPRF-SC";"DEL01-SC";"UOP01-DEL01-SC"
478949;2022-10-06;"quinta-feira";"16:00:00";"MG";40;758,5;"EWBANK DA CAMARA";"Condutor deixou de manter distância do veículo da frente";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;1;0;2;0;1;3;-21,51149748;-43,5259874;"SPRF-MG";"DEL05-MG";"UOP01-DEL05-MG"
478950;2022-10-06;"quinta-feira";"14:00:00";"RS";116;246;"SAO LEOPOLDO";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva;Declive";"Sim";1;0;1;0;0;0;1;1;-29,76198758;-51,15252614;"SPRF-RS";"DEL01-RS";"UOP02-DEL01-RS"
478951;2022-10-06;"quinta-feira";"13:00:00";"DF";70;15;"BRASILIA";"Avarias e/ou desgaste excessivo no pneu";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;1;-15,798888;-48,185043;"SPRF-DF";"DEL03-DF";"UOP02-DEL03-DF"
478952;2022-10-06;"quinta-feira";"14:30:00";"RS";116;254;"SAPUCAIA DO SUL";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta;Interseção de Vias";"Sim";2;0;1;0;1;0;1;2;-29,82266245;-51,1712265;"SPRF-RS";"DEL01-RS";"UOP02-DEL01-RS"
478953;2022-04-13;"quarta-feira";"18:15:00";"RS";470;176;"VERANOPOLIS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;1;0;2;0;1;2;-28,929109;-51,54315;"SPRF-RS";"DEL06-RS";"UOP02-DEL06-RS"
478954;2022-10-06;"quinta-feira";"17:15:00";"SP";101;50;"UBATUBA";"Retorno proibido";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-23,45018939;-45,07743735;"SPRF-SP";"DEL06-SP";"UOP01-DEL06-SP"
478956;2022-10-06;"quinta-feira";"17:10:00";"SC";101;206,7;"SAO JOSE";"Chuva";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Múltipla";"Reta";"Sim";1;0;1;0;0;0;1;1;-27,59193546;-48,61824557;"SPRF-SC";"DEL01-SC";"UOP01-DEL01-SC"
478958;2022-10-06;"quinta-feira";"10:10:00";"SC";101;148;"ITAPEMA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;-27,10123686;-48,61807962;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
478960;2022-10-06;"quinta-feira";"16:40:00";"SC";101;148;"ITAPEMA";"Acumulo de água sobre o pavimento";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;-27,10123686;-48,61807962;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
478962;2022-10-06;"quinta-feira";"17:00:00";"PB";230;334;"PATOS";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-7,018;-37,2589;"SPRF-PB";"DEL03-PB";"UOP01-DEL03-PB"
478963;2022-10-06;"quinta-feira";"14:40:00";"SC";101;148;"ITAPEMA";"Reação tardia ou ineficiente do condutor";"Colisão com objeto";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Sim";2;0;0;0;2;0;0;1;-27,10123686;-48,61807962;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
478965;2022-09-16;"sexta-feira";"17:25:00";"MG";267;81,7;"JUIZ DE FORA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Declive;Curva";"Não";1;0;0;1;0;0;1;1;-21,76012664;-43,21968811;"SPRF-MG";"DEL05-MG";"UOP01-DEL05-MG"
478968;2022-10-06;"quinta-feira";"14:30:00";"PB";412;12,6;"BOA VISTA";"Mal súbito do condutor";"Colisão com objeto";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Aclive;Reta";"Não";1;1;0;0;0;0;0;1;-7,226268;-36,18747;"SPRF-PB";"DEL02-PB";"UOP02-DEL02-PB"
478969;2022-10-06;"quinta-feira";"17:45:00";"RS";285;111;"VACARIA";"Demais falhas mecânicas ou elétricas";"Eventos atípicos";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;0;1;0;1;-28,51087;-50,848324;"SPRF-RS";"DEL05-RS";"UOP03-DEL05-RS"
478971;2022-09-24;"sábado";"15:00:00";"BA";242;487;"IBITIARA";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Curva";"Não";4;0;2;1;1;0;3;1;-12,47301328;-42,2890842;"SPRF-BA";"DEL06-BA";"UOP01-DEL06-BA"
